,Sentence,Sentiment
0,"#Apple breaks major support, here are some levels to watch - http://stks.co/jRmW $AAPL $QQQ",negative
1,#Apple up almost 20% from its February lows with very little fanfare. $AAPL,positive
2,#Fintech provider $CAFN Cachet Financial Solutions Surging Forward today post earnings Up +13.26% https://t.co/9BJ3csk2i9 $JKHY $FISV #Momo,positive
3,#FusionIQ NEW Positive Timing Signal on $SBUX Today https://t.co/9ImlXz4YNa Please Retweet #Signals,positive
4,#LongPos $TSLA 256 Break-out thru 50 & 200- DMA (197-230) upper head res (274-279) Short squeeze in progress Nr term obj: 310 Stop loss:239,positive
5,#NDX component Tesla has announced it is recalling 2700 Model X SUVs. $TSLA,negative
6,#Tesla Model S deliveries are up 35% in Germany - record deliveries in March [Chart] https://t.co/yCnClcBImV  $TSLA,positive
7,#Tesla: Model X Recall Adds To Reliability Issues $TSLA https://t.co/jVXQ4DoXnP,negative
8,"$3.56 trillion: Despite spending billions to prop up currency, China has biggest foreign reserves",positive
9,$40 oil could be a game-changer for Russia,positive
10,$50 oil is already here,neutral
11,$AAPL  downgrade is bias. This stock is a buy.,positive
12,$AAPL $131 rally mode,positive
13,$AAPL - Has broken its downtrend - but 200DMA proving to be stiff resistance short term. https://t.co/VlzlgvIHZV,positive
14,"$AAPL 50DMA turned up, MACD crossover a half-a-hair away on the weekly. EOD break out likely.",positive
15,$AAPL 620 resistance area,neutral
16,"$AAPL AAPL finally breaking under the 49 M.A.. With no buybacks this week, look for AAPL to test the 120 support area.",negative
17,"$AAPL AAPL: Gundlach Slams iPad mini, Sees Downside to $425. http://stks.co/bDqV",negative
18,$AAPL AUG 645 calls +550% .67c: http://stks.co/i9T3,positive
19,$AAPL Action into the close indicates that $AAPL probably hit a near term high.  Momentum slowing after a huge run.,positive
20,$AAPL Beat the estimates. Will still go down on lack of new products. https://t.co/sX3z7u6N8o,negative
21,$AAPL Dips being bought up real quick. Higher lows fo sho,positive
22,$AAPL Goldman Sachs reiterates conviction buy on Apple with a $155 PT $SPY $DJIA $GS https://t.co/h5hmXSITwM,positive
23,$AAPL Good time to buy. Will the run come before earnings or after?,positive
24,$AAPL I am big OUT from this. seems its falling towards 530.. :(,negative
25,$AAPL I'm sure those short are holding their breath hoping for a miracle. lol,positive
26,$AAPL Nice RSI 33 bounce at 9:58,positive
27,$AAPL Now I'm glad I got stopped out of my $113 weeklies when I did. Will re-enter next Monday for the #earnings run-up.,neutral
28,$AAPL Right back in ... - Buy the dips brought to you by CNBC. LOL,positive
29,"$AAPL Stock Climbs as Barron's Sees 40% Upside, Jim Cramer's Take  https://t.co/lKlD9mVKBQ",positive
30,"$AAPL Taking out the shorts here, a punishing reminder not to spear the  strongest in the herd.",positive
31,"$AAPL a new long IF 110.61 is broken. Targets are 112.19, 119.86 & 123.82. Bears must retake 102.77. $QQQ $NQ_F $NDX https://t.co/6l3m1wXChw",positive
32,$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,negative
33,"$AAPL at pivot area on intraday chart- break here could send this to 50-day SMA, 457.80 http://stks.co/jPbN",positive
34,$AAPL at resistance right here...sold my shares...will buy back if it dips or if it goes in the 128 gap zone,negative
35,"$AAPL bounce right now has no vol, more vol when it slid",positive
36,"$AAPL bounces off support, it seems",positive
37,$AAPL broke descending channel....will it hold?,neutral
38,"$AAPL double bottom could be in, keep in mind",positive
39,$AAPL http://stks.co/1LDx Clearing this descending trend line / buy area now,positive
40,$AAPL iPhone shipments on track to exceed forecasts - MarketWatch https://t.co/2CXahJIX7d,positive
41,"$AAPL is now beaten down, hated, etc. / hhhmm opposite of 700> what happens next?",negative
42,$AAPL long 630.91,positive
43,$AAPL near a 3% drop thats a lot... now the best i can do is HOLD ER lol,negative
44,$AAPL nibbling on a small long via 525.. buying off 13min charts..,positive
45,$AAPL price momentum weakening going into the close.,negative
46,$AAPL rejected the hod...should head lower. Sitting on the sidelines for now.,negative
47,$AAPL short some 592.49,negative
48,$AAPL wants lower. up waves getting smaller on the 2 min,negative
49,$AAPL weekly still under the 50 moving average and creating a lower high. https://t.co/vT7ppzY2UY,negative
50,$ACAD under $2 today?,negative
51,$ACOM http://stks.co/1G6x Downside breakout looks to be coming soon.,negative
52,"$ADBE technical alerts: Expansion Breakout, Gilligan's Island Sell Setup, Volume Surge, and New 52... https://t.co/LxX66tknFH",positive
53,$AEGN MACD and ADX are crossing over the signal lines! Long Setup http://stks.co/qzzx,positive
54,"$AGN and $PYPL under pressure along with the market, however there were bullish options trades in both this morning https://t.co/9xG5W8nONT",neutral
55,$AMCN pushing highs,positive
